16 22106 83718
7 3014 -87.92 -68.09
10 3014 -114.81 -66.84
12 3014 -2.34998 -142.82
15 3014 -58.11 -106.4
0 3015 -8.65002 -185.34
1 3015 94.52 -147.4
15 3015 -22.94 -115.53
0 3016 -166.34 -54
1 3016 -4.20001 22.72
0 3017 -329.96 59.91
1 3017 -84.62 168.28
4 3017 -208.02 -145.33
8 3017 -327.27 -184.07
10 3017 -486.74 177.96
0 3018 -778.67 -569.94
1 3018 -678.5 -265.77
0 3019 -282.87 25.23
1 3019 -53.72 123.49
4 3019 -233.64 -173.81
0 3020 -461.47 141.43
1 3020 -176.29 278.07
13 3020 -165.08 -161.65
0 3021 -329.95 64.96
1 3021 -82.87 172.81
0 3022 -724.61 -455.1
1 3022 -601.54 -184.11
4 3022 -481.52 125.15
7 3022 -774.01 -507.25
0 3023 278.1 47.16
1 3023 455.97 -8.32001
7 3023 176.37 201.69
10 3023 224.13 223.87
13 3023 598.48 -161.41
15 3023 340.27 239.51
0 3024 85.53 511.99
1 3024 470.25 500.32
2 3024 -213.66 274.53
5 3024 488.94 -134.57
11 3024 223.25 -250.23
12 3024 -215.21 535.21
14 3024 395.73 -220.28
0 3025 211.08 -45.46
1 3025 353.63 -79.33
6 3025 209.37 34.71
7 3025 131.9 103.55
8 3025 339.23 -27.12
13 3025 562.96 -243.39
15 3025 258.11 103.98
0 3026 -522.77 277.77
1 3026 -192.39 420.18
10 3026 -751.84 420.91
13 3026 -232.3 -46.07
0 3027 87.95 514.23
1 3027 473.49 502.03
6 3027 -383.76 557.57
14 3027 398.24 -217.93
0 3028 335.17 -169.26
1 3028 444.27 -243.95
6 3028 366.7 -66.27
7 3028 268.46 0.710022
10 3028 310.57 -19.22
12 3028 399.77 -33.21
15 3028 446 -48.44
0 3029 99.42 -222.13
1 3029 184.45 -216.37
2 3029 351.1 -164.6
3 3029 265.7 -461.55
4 3029 -453.65 -493.78
6 3029 169.37 -190.09
7 3029 56.24 -87.12
8 3029 311.29 -188.46
10 3029 44.75 -104.88
15 3029 128.26 -150.21
0 3030 -233.1 462.67
1 3030 129.85 529.35
2 3030 -514.22 216.51
5 3030 173.98 -189.5
7 3030 -453.86 504.91
11 3030 -59.06 -299.91
12 3030 -556.64 431.28
0 3031 -113.06 221.36
1 3031 179.38 262.93
0 3032 127.54 -82.69
1 3032 257.91 -90.01
6 3032 138.93 -30.46
7 3032 57.5 53.82
8 3032 285.3 -69.89
0 3033 -76.57 -529.34
1 3033 -65.78 -454.42
6 3033 66.67 -642.67
7 3033 -70.14 -435.25
9 3033 143.71 -419.84
0 3034 63.5 545.51
1 3034 456.04 540.49
2 3034 -235.76 312.67
5 3034 468.92 -100.9
0 3035 -68.7 -107.99
1 3035 65.93 -56.27
8 3035 110.17 -144.61
12 3035 -75.71 -79.52
0 3036 76.46 39.54
1 3036 245.48 45.9
6 3036 39.71 88.3
15 3036 63.4 201.75
0 3037 569.31 -18.3
1 3037 791.63 -179.41
12 3037 505.63 112.23
13 3037 791.93 -220.75
15 3037 766.22 189.11
0 3038 -254.51 -457.93
1 3038 -201.76 -330.07
6 3038 -187.61 -652.5
7 3038 -268.81 -404.34
0 3039 -85.7 -580.02
1 3039 -93.41 -497.54
0 3040 252.57 449.56
1 3040 634.98 392.01
2 3040 -59.63 206.45
5 3040 656.17 -197.9
6 3040 -194.89 508.87
7 3040 21.71 542.61
11 3040 381.02 -298.07
12 3040 -29.53 484.91
14 3040 562.31 -278.2
0 3041 239.43 444.24
1 3041 619.23 389.84
2 3041 -70.43 200.53
3 3041 -211.7 -131.51
5 3041 642.54 -203.92
6 3041 -207.95 499.65
7 3041 9.78998 535.88
8 3041 21.92 154.32
11 3041 369.94 -303.52
12 3041 -42.27 477.26
14 3041 549.36 -284.22
0 3042 -80.72 487.16
1 3042 290.19 516.73
7 3042 -304.44 546.95
0 3043 -110.76 482.92
1 3043 258.19 519.69
7 3043 -333.58 538.5
11 3043 48.82 -281.27
12 3043 -422.05 472.15
14 3043 206.72 -256.86
0 3044 466.89 292.99
1 3044 796.49 174.46
6 3044 170.32 401.88
7 3044 267.82 430.67
10 3044 423.56 535.4
0 3045 208.13 -4.19
1 3045 362.64 -36.87
7 3045 122.04 143.96
10 3045 147.55 157.91
13 3045 555.49 -208.04
15 3045 248.69 159.87
0 3046 76.87 -62.9
1 3046 214.46 -54.99
7 3046 4.34003 65.01
8 3046 238.07 -61.71
0 3047 -100.88 -563.19
1 3047 -100.76 -476.88
6 3047 62.15 -688.56
7 3047 -85.99 -472.8
0 3048 91.23 500.58
1 3048 473.33 486.92
2 3048 -208.01 261.46
7 3048 -138.5 577.81
14 3048 401.33 -231.79
0 3049 -23.69 488.89
1 3049 349.94 504.06
6 3049 -503.1 502.25
7 3049 -248.1 554.49
11 3049 126.51 -274
14 3049 291.03 -247.73
0 3050 -23.69 488.89
1 3050 349.94 504.06
2 3050 -312.39 247.1
6 3050 -503.1 502.25
7 3050 -248.1 554.49
11 3050 126.51 -274
14 3050 291.03 -247.73
0 3051 210.34 423.5
1 3051 581.07 376.18
7 3051 -15.25 511.78
11 3051 344.65 -323.09
13 3051 358.07 116.77
14 3051 521.13 -308.16
0 3052 364.36 338.06
1 3052 714.92 247.31
6 3052 -10.22 409.83
7 3052 150.42 451.42
10 3052 299.24 579.54
0 3053 413.86 -105.3
1 3053 554.44 -207.6
6 3053 401.51 14.94
7 3053 325.01 71.02
10 3053 395.33 62.5
15 3053 549.1 49
0 3054 0.770019 -105.41
1 3054 130.16 -73.12
6 3054 4.46997 -102.49
7 3054 -66.27 8.25
0 3055 93.63 266.92
1 3055 401.8 251.1
6 3055 -275.18 257.64
7 3055 -94.28 348.79
9 3055 -242.51 107.1
11 3055 239.84 -473.8
12 3055 -133.95 271.17
13 3055 294.32 -21
14 3055 443.04 -480.32
0 3056 60.23 230.01
1 3056 354.08 224.21
5 3056 506.15 -440.56
6 3056 -288.34 207.22
7 3056 -118.82 309.49
10 3056 -46.56 418.64
13 3056 276.7 -54.23
14 3056 420.9 -522.58
0 3057 -45.15 -5.76001
1 3057 120.3 35.23
6 3057 -98.64 -10.58
7 3057 -133.08 96.92
8 3057 98.71 -53.3
10 3057 -145.03 129.66
12 3057 -82.74 45.43
0 3058 -65.69 -66.32
1 3058 82.07 -16.83
4 3058 -310.23 -357.98
7 3058 -142.66 33.06
10 3058 -162.45 57.16
13 3058 317.05 -287.15
15 3058 -113.68 37.97
0 3059 -717.4 -362.05
1 3059 -566.2 -105.72
7 3059 -789.06 -409.82
0 3060 116.25 458.24
1 3060 488.96 436.89
2 3060 -181.02 213.48
3 3060 -317.13 -118.59
5 3060 518.45 -191.81
6 3060 -342.86 491.32
7 3060 -109.18 537.35
8 3060 -69.56 163.16
12 3060 -173.2 475.92
14 3060 427.09 -275.19
0 3061 -77.9 496.78
1 3061 295.47 525.38
5 3061 328.21 -153.76
11 3061 77.83 -268.52
13 3061 128.71 163.03
0 3062 -252.6 416.67
1 3062 99.43 488.58
2 3062 -532 159.57
7 3062 -467.25 454.1
13 3062 -9.81 86.49
0 3063 636.83 -243.05
1 3063 773.68 -433.54
7 3063 534.35 -37.85
12 3063 676.56 -84.74
0 3064 624.4 -235.47
1 3064 763.25 -420.81
12 3064 660.8 -80.53
0 3065 -234.71 465.28
1 3065 128.52 532.13
2 3065 -515.58 219.31
7 3065 -455.74 507.36
0 3066 -342.19 84.09
1 3066 -87.33 194.06
8 3066 -350.24 -168.79
10 3066 -504.02 204.98
13 3066 -42.28 -202.8
0 3067 232.83 -5.09003
1 3067 388.85 -45.7
7 3067 145.35 146
10 3067 176.61 158.99
15 3067 283.07 162.09
0 3068 -421.31 9.70001
1 3068 -185.9 146.21
13 3068 -96.32 -271.14
15 3068 -597.29 90.72
0 3069 209.72 387.97
1 3069 568.88 339.98
0 3070 453.85 299.83
1 3070 785.44 185.46
7 3070 253.64 435.21
10 3070 407.71 542.76
0 3071 102.89 97.23
1 3071 292.58 94.16
4 3071 -216.05 -494.39
7 3071 -1.09998 225.08
8 3071 205.67 70.72
15 3071 92.41 283.83
0 3072 -3.31 109.12
1 3072 195.65 135.32
6 3072 -98.46 132.27
7 3072 -112.3 218.14
10 3072 -108.95 267.89
12 3072 -71.5 186.67
15 3072 -52.74 285.58
0 3073 122.49 71.01
1 3073 301.22 63.16
6 3073 74.69 136
7 3073 25.03 204.23
8 3073 234.67 53.65
10 3073 41.28 236.11
15 3073 122.03 250.93
0 3074 122.49 71.01
1 3074 301.22 63.16
6 3074 74.69 136
7 3074 25.03 204.23
8 3074 234.67 53.65
10 3074 41.28 236.11
15 3074 122.03 250.93
0 3075 155.66 61.7
1 3075 331.35 44.14
2 3075 281.05 119.93
6 3075 113.32 136.27
7 3075 59.78 200.33
8 3075 263.97 51.61
10 3075 80.89 229.06
15 3075 168.59 242.95
0 3076 294.08 -0.900024
1 3076 457.08 -61.57
7 3076 199.72 157.26
10 3076 247.22 170.38
15 3076 368.31 176.18
0 3077 562.52 -9.53003
1 3077 787.44 -168.22
6 3077 410.69 107.77
7 3077 415.03 162.3
10 3077 559.87 189.59
12 3077 495.78 119.16
15 3077 756.05 199.93
0 3078 202.77 7.19
1 3078 361.18 -24.09
6 3078 182.08 90.92
10 3078 140.04 170.76
0 3079 569.31 -18.3
1 3079 791.63 -179.41
10 3079 568.67 180.33
13 3079 791.93 -220.75
15 3079 766.22 189.11
0 3080 122.52 6.96997
1 3080 279.75 0.0200195
2 3080 276.93 66.38
7 3080 37.77 141.97
10 3080 47.91 161.64
15 3080 130.01 163.47
0 3081 310.99 -27.45
1 3081 467.71 -93.92
6 3081 284.49 74.68
7 3081 219.19 132.65
10 3081 269 141.53
15 3081 395.23 141.99
0 3082 545.93 -29.4
1 3082 761.65 -182.93
15 3082 735.25 170.37
0 3083 348.51 -59.58
1 3083 499.44 -139.46
10 3083 315.76 108.51
0 3084 172.06 -40.68
1 3084 314.48 -62.08
2 3084 340.49 27.92
6 3084 171.46 30.3
7 3084 94.23 102.71
10 3084 109.8 111.45
0 3085 412.48 -100.96
1 3085 554.65 -202.53
6 3085 396.36 19.36
7 3085 322.87 74.97
10 3085 393.74 67.97
12 3085 443.05 49.89
0 3086 358.6 -109.32
1 3086 494 -192.79
0 3087 -113.35 6.25
1 3087 65.18 65.19
7 3087 -209.83 93.31
10 3087 -225.73 136.75
12 3087 -181.4 27.24
15 3087 -186.24 129.7
0 3088 199.44 -104.29
1 3088 324.54 -134.05
6 3088 215.47 -35.17
12 3088 237.83 7.26001
13 3088 558.91 -296.45
15 3088 250.39 22.13
0 3089 171.02 -100.11
1 3089 296.7 -120.62
6 3089 186.99 -37.79
7 3089 102.11 43.09
10 3089 114.72 42.98
15 3089 210.49 24.37
0 3090 -95.08 -22.79
1 3090 71.13 32.74
2 3090 20.98 -55.9
6 3090 -162.31 -53.49
7 3090 -183.79 69.15
10 3090 -201.38 104.66
15 3090 -158.33 93.18
0 3091 -95.08 -22.79
1 3091 71.13 32.74
6 3091 -162.31 -53.49
0 3092 118.69 -110.64
1 3092 241.62 -114.72
2 3092 312.17 -60
10 3092 55.56 25.86
15 3092 140.64 3.07001
0 3093 -39.44 -76.54
1 3093 103.05 -34.33
7 3093 -113.37 28.32
15 3093 -76.88 27.95
0 3094 39.03 -102.11
1 3094 167.95 -82.19
6 3094 44.15 -85.33
7 3094 -28.51 17.83
9 3094 83.01 31.28
10 3094 -37.53 26.61
15 3094 31.49 3.86999
0 3095 -137.27 -109.66
1 3095 1.90997 -37.56
2 3095 22.53 -145.4
6 3095 -164.62 -163.74
10 3095 -241.02 -0.719971
12 3095 -161.19 -104.97
13 3095 256.82 -331.41
0 3096 -64.07 -135.95
1 3096 61.19 -84.2
15 3096 -102.45 -55.77
0 3097 -74.18 -147.98
1 3097 46.79 -92.24
6 3097 -65.63 -178.91
7 3097 -134.51 -48.48
10 3097 -163.42 -38.18
15 3097 -114.98 -73.28
0 3098 -36.55 -192.65
1 3098 64.64 -145.78
6 3098 7.45001 -209.03
7 3098 -84.88 -83.78
10 3098 -115.37 -86.02
12 3098 2.65997 -158.56
15 3098 -59.12 -128.71
0 3099 96.43 -240.65
1 3099 174.24 -233.34
7 3099 58.43 -105.37
10 3099 43.29 -126.8
15 3099 126.36 -175.79
0 3100 607.48 118.93
1 3100 874.78 -46.97
2 3100 517.39 102.36
6 3100 433.29 271.44
7 3100 442.58 295.73
8 3100 483.43 55.46
9 3100 303.95 185.45
10 3100 602.27 343.91
12 3100 517.26 281
13 3100 815.4 -91.85
15 3100 804.12 386.06
0 3101 599.29 -31.38
1 3101 818.37 -202.73
7 3101 454.64 149.04
0 3102 660.19 -55.25
1 3102 874.96 -248.72
7 3102 517.6 138.29
0 3103 560.54 -21.35
1 3103 781.18 -179.53
7 3103 415.09 150.59
10 3103 558.6 175.97
13 3103 783.69 -225.03
15 3103 754.41 183.55
0 3104 214.91 -29.78
1 3104 362.22 -64.52
10 3104 158.61 128.9
15 3104 261.95 125.68
0 3105 364.18 -123.39
1 3105 493.63 -208.49
7 3105 284.12 47.23
10 3105 339.6 35.97
15 3105 481.68 17.61
0 3106 -37.98 -104.4
1 3106 93.48 -61.17
3 3106 64.43 -402.36
7 3106 -105.09 2.14002
10 3106 -126.13 15.6
15 3106 -72.18 -9.70001
0 3107 309.5 -243.03
1 3107 396.91 -309.14
6 3107 361.75 -159.54
7 3107 255.05 -76.81
10 3107 289.55 -105.9
12 3107 391.91 -128.44
15 3107 420.73 -152.02
0 3108 -88.42 -147.62
1 3108 33.51 -87.68
7 3108 -148.86 -50.76
10 3108 -180.14 -39.43
0 3109 548.92 225.01
1 3109 847.04 83.43
7 3109 370.28 387.85
10 3109 525.69 463.39
15 3109 709.88 526.28
0 3110 586.39 82.52
1 3110 841.19 -79.22
6 3110 416.44 222.31
7 3110 426.96 256.47
8 3110 472.06 16.6
9 3110 293.88 144.37
12 3110 501.61 232.45
15 3110 778.97 331.66
0 3111 574.61 18.02
1 3111 808.48 -143.25
10 3111 571.53 222.82
15 3111 769.52 240.55
0 3112 585.14 -33.88
1 3112 803.05 -201.04
10 3112 588.88 163.33
13 3112 810.52 -233.06
0 3113 122.75 -62.4
1 3113 259.04 -68.33
0 3114 -126.78 -135.08
1 3114 2.46997 -64.43
6 3114 -136.07 -185.46
12 3114 -135.76 -128.01
15 3114 -187.55 -63.08
0 3115 232.08 -529.97
1 3115 229.69 -563.77
0 3116 561.95 74.09
1 3116 812.84 -80.58
6 3116 387.47 202.7
7 3116 403.3 242.28
10 3116 552.53 286.06
12 3116 474 212.69
15 3116 745.59 315.36
0 3117 560.54 53.38
1 3117 805.11 -101.7
6 3117 391 178.47
7 3117 404.69 222.8
10 3117 551.99 262.35
13 3117 774.12 -156.99
15 3117 745.51 286.96
0 3118 -66.84 -53.77
1 3118 85.27 -5.23999
7 3118 -146.99 44.85
15 3118 -116.83 54.33
0 3119 -46.2 -60.36
1 3119 102.73 -16.89
7 3119 -124.87 42.26
10 3119 -140.53 66.38
15 3119 -88.56 49.15
0 3120 12.47 -118.74
1 3120 136.26 -89.8
4 3120 -358.79 -420.69
6 3120 26.02 -111.27
12 3120 31.9 -60.4
15 3120 -1.89002 -22.3
0 3121 -92.03 -111.38
1 3121 44.32 -52.81
7 3121 -161.82 -17.31
10 3121 -188.12 2.34003
15 3121 -142.67 -26.46
0 3122 618 -354.72
1 3122 704.66 -539.61
0 3123 524.82 -355.55
1 3123 601.82 -503.55
0 3124 509.54 271.37
1 3124 834.28 140.2
7 3124 313.66 417.43
10 3124 475.61 514.41
0 3125 53.19 -128.43
1 3125 171.83 -111.62
7 3125 -8.46997 -4.21002
15 3125 53.93 -29.8
0 3126 564.52 -290.62
1 3126 672.7 -453.93
6 3126 569.26 -164.79
0 3127 548.58 -386.27
1 3127 614.67 -543.6
0 3128 98.36 -119.15
1 3128 219.47 -117.33
3 3128 202.57 -377.78
7 3128 33.76 11.59
10 3128 32.15 13.56
13 3128 473.25 -316.96
15 3128 113.17 -11.2
0 3129 11.78 -205.7
1 3129 105.75 -172.71
7 3129 -33.88 -87.71
10 3129 -58.46 -95.37
13 3129 416.19 -399.47
15 3129 6.85998 -139.34
0 3130 -89.33 480.73
1 3130 279.69 512.12
2 3130 -374.01 237.76
4 3130 9.96997 -305.24
5 3130 316.18 -170.68
6 3130 -577.33 478.22
7 3130 -312.14 538.86
8 3130 -227.88 177.79
13 3130 120.08 149.79
14 3130 227.34 -258.12
0 3131 226.62 470.74
1 3131 611.63 421.06
2 3131 -85.15 229.19
5 3131 629.64 -175.6
6 3131 -226.66 530.47
7 3131 -5.69 561.19
8 3131 10.1 177.63
9 3131 -222.04 270.39
11 3131 355.82 -279.51
12 3131 -60.28 505.92
14 3131 534.48 -257.02
0 3132 328.34 451.57
1 3132 720.48 373.97
2 3132 5.64002 211.02
7 3132 92.28 552.25
8 3132 84.88 164.25
9 3132 -145.36 257.89
11 3132 451.94 -291.44
12 3132 47.16 499.35
13 3132 452.19 148.77
14 3132 637.92 -271.72
0 3133 77.48 497.89
1 3133 458.2 487.78
2 3133 -220.39 257.8
7 3133 -151.27 573.88
9 3133 -337.88 291.06
11 3133 216.91 -262.79
0 3134 343.84 537.33
1 3134 763.46 462
2 3134 7.14002 305.31
3 3134 -137.12 -28.59
6 3134 -116.92 638.2
8 3134 86.94 239.51
9 3134 -147.2 339.22
12 3134 46.26 598.54
13 3134 460.56 222.94
14 3134 645.26 -181.31
0 3135 -307.19 -131.43
1 3135 -131.95 -15.58
15 3135 -423.21 -84.41
0 3136 544.5 64.48
1 3136 791.89 -85.24
7 3136 386.93 230.58
10 3136 532.92 273.81
12 3136 455.81 194.36
0 3137 170.73 0.229981
1 3137 325.68 -20.89
7 3137 85.57 142.98
13 3137 524.15 -206.6
15 3137 196.42 160.95
0 3138 -28 -142.19
1 3138 92.15 -100.71
7 3138 -89.14 -34.57
10 3138 -110.86 -26.94
15 3138 -53.32 -59.48
0 3139 547.92 31.76
1 3139 785.25 -120.14
6 3139 381.12 148.66
7 3139 394.87 199.27
10 3139 539.35 236.07
12 3139 468.04 159.59
13 3139 763.56 -178.35
0 3140 554.56 -6.23999
1 3140 780.71 -162.55
7 3140 406.68 163.87
10 3140 550.06 192.82
13 3140 774.61 -212.16
0 3141 -410.69 240.34
1 3141 -95.56 356.84
7 3141 -604.77 247.22
11 3141 -226.63 -499.58
13 3141 -142.98 -75.68
0 3142 558.35 -14.09
1 3142 781.86 -171.81
7 3142 411.55 156.93
10 3142 555.39 183.97
15 3142 750.84 193.22
0 3143 -431.9 18.07
1 3143 -192.62 156.68
2 3143 -580.06 -266
8 3143 -413.71 -233.53
15 3143 -612.86 100.87
0 3144 -187.07 -494.64
1 3144 -154.14 -385.51
6 3144 -82.53 -658.4
7 3144 -190.29 -425.31
0 3145 -218.86 -524.84
1 3145 -193.95 -402.39
6 3145 -99.05 -705.06
7 3145 -215.25 -460.97
10 3145 -288.92 -488.87
0 3146 623.44 14.93
1 3146 858.53 -162.02
7 3146 472.15 198.57
15 3146 838.55 243.07
0 3147 598.65 -5.03003
1 3147 826.22 -175.1
6 3147 455.03 128.03
12 3147 537.45 138.53
13 3147 821.24 -204.68
0 3148 655.62 -105.72
1 3148 854.25 -300.22
8 3148 577.39 -117.84
10 3148 676.65 87.69
0 3149 -7.03998 -88.86
1 3149 129.42 -55.68
6 3149 -16.88 -88.59
7 3149 -79.48 22.16
10 3149 -93.87 37.9
15 3149 -32.29 16.12
0 3150 672.63 -280.14
1 3150 799.33 -485.66
12 3150 727.89 -110.8
0 3151 -201.49 -520.29
1 3151 -176.8 -404.14
6 3151 -82.15 -692.88
7 3151 -199.01 -453.63
9 3151 24.87 -464.6
0 3152 507.8 285.03
1 3152 836.78 154.95
6 3152 227.27 405.64
7 3152 309.93 430.12
8 3152 327.08 123.76
10 3152 472.57 530.61
12 3152 334.24 402.09
13 3152 674.67 32.87
0 3153 611.32 70.49
1 3153 863.06 -99.37
2 3153 534.18 54.85
3 3153 399.58 -255.06
15 3153 814.86 318.94
0 3154 631.65 -295.34
1 3154 744.82 -484.98
7 3154 542.79 -84.17
12 3154 697.73 -134.86
0 3155 29.87 -50.42
1 3155 173.49 -28.53
3 3155 108.42 -326.89
7 3155 -46.64 68.23
10 3155 -53.94 85.86
15 3155 12.33 72.61
0 3156 465.12 312.55
1 3156 800.93 195.96
10 3156 420.09 559.02
0 3157 216.22 -11.94
1 3157 369.12 -47.21
7 3157 131.12 137.56
10 3157 158.16 149.66
13 3157 562.79 -214.14
15 3157 260.99 150.53
0 3158 58.59 68.75
1 3158 238.35 79.35
6 3158 4.27002 113.46
7 3158 -38.6 191.25
10 3158 -32.67 227.04
15 3158 35.3 239.24
0 3159 46.77 -0.27002
1 3159 204.41 15.46
7 3159 -37.02 121.75
10 3159 -39.11 145.54
15 3159 28.28 143.19
0 3160 515.51 -309.1
1 3160 611.39 -453.6
0 3161 -25.18 -159.73
1 3161 89.04 -118.66
7 3161 -82.55 -50.71
10 3161 -105.4 -46.75
15 3161 -47.25 -82.89
0 3162 513.97 245.63
1 3162 830.52 111.63
6 3162 244.89 363.95
7 3162 321.51 393.19
8 3162 340.09 94.01
12 3162 350.19 362.81
15 3162 661.75 548.83
0 3163 547.6 5.66998
1 3163 776.72 -147.77
7 3163 398.09 173.96
0 3164 659.31 -100.42
1 3164 859.92 -295.92
2 3164 636.24 -97.3
6 3164 554.92 47.76
7 3164 522.73 94.61
10 3164 680.24 94.59
12 3164 633.76 57.33
0 3165 11.31 -75.11
1 3165 149.94 -47.56
2 3165 184.01 -55.2
7 3165 -61.28 39.82
8 3165 178.18 -93.13
9 3165 48.52 45.79
13 3165 390.45 -286.51
15 3165 -9.13001 36.73
0 3166 103.06 -112.51
1 3166 225.93 -111.64
2 3166 296.82 -64.91
6 3166 120.36 -73.09
7 3166 37.64 19.92
8 3166 270.98 -103.02
10 3166 37.84 21.98
15 3166 119.83 -1.32001
0 3167 124.59 -77.15
1 3167 256.39 -83.45
7 3167 53.72 58.71
8 3167 281.64 -65.02
0 3168 552.86 11.07
1 3168 783.84 -143.73
0 3169 214.96 513.48
1 3169 611.24 468.98
2 3169 -99.57 278.25
9 3169 -236.07 312.63
11 3169 340.9 -243.55
0 3170 22.23 520.73
1 3170 405.44 525.39
4 3170 25.81 -375.67
5 3170 427.68 -127.17
12 3170 -283.03 537.1
13 3170 207.89 188.95
0 3171 288.13 570.83
1 3171 709.89 511.76
9 3171 -192.76 366.87
11 3171 400.82 -190.16
13 3171 414.76 247.26
14 3171 587.79 -150.59
0 3172 256.06 478.63
1 3172 647.07 421.75
2 3172 -60.22 239.49
6 3172 -197.04 546.6
7 3172 21.24 572.23
14 3172 563.42 -247.18
0 3173 442.86 302.17
1 3173 774.91 190.78
6 3173 135.89 404.42
7 3173 242.28 435.34
10 3173 394.5 544.66
12 3173 251.69 399.69
0 3174 610.15 29.19
1 3174 849.01 -142.83
7 3174 457.03 209.66
10 3174 612.59 239.49
13 3174 828.75 -171.71
15 3174 817.8 260.85
0 3175 295.41 36.06
1 3175 471.37 -25.41
7 3175 193.97 192.45
10 3175 245.24 213.15
13 3175 613.23 -170.57
15 3175 365.72 227.01
0 3176 212.19 11.96
1 3176 372.74 -22.29
2 3176 352.36 82.04
4 3176 -293.38 -583.55
7 3176 122.9 160.29
10 3176 151.37 177.16
13 3176 555.5 -193.83
15 3176 252.54 182.74
0 3177 73.78 -22.75
1 3177 223.08 -14.57
2 3177 239.25 25.2
3 3177 145.77 -282.72
7 3177 -5.65997 104.43
10 3177 -5.45001 122.1
13 3177 443.85 -234.02
15 3177 67.65 116.32
0 3178 190.31 -80.08
1 3178 321.78 -106.83
6 3178 200.34 -8.25
7 3178 117.74 66.64
8 3178 332.96 -58.68
10 3178 135.53 68.31
13 3178 549.97 -275.11
0 3179 310.86 -107.82
1 3179 439.7 -174.23
10 3179 276.66 48.64
12 3179 352.66 27.74
13 3179 650.23 -292.77
15 3179 404.73 32.1
0 3180 -161.08 -75.61
1 3180 -7.28003 0.820007
7 3180 -241.3 4.63
10 3180 -271.73 36.05
12 3180 -206.6 -77.17
15 3180 -240.47 12.53
0 3181 250.64 474.49
1 3181 639.93 418.83
2 3181 -64.24 234.61
5 3181 653.78 -170.75
6 3181 -201.74 540.69
7 3181 16.81 567.92
11 3181 377.38 -275.16
13 3181 389.17 163.58
14 3181 558.78 -251.39
0 3182 489.52 281.27
1 3182 816.27 156.4
6 3182 202.33 397.13
7 3182 292.12 423.6
8 3182 310.33 115.23
10 3182 451.1 524.39
12 3182 311.77 394.07
13 3182 656.39 27.97
0 3183 -102.65 371.61
1 3183 238.72 406.27
2 3183 -379.93 105.58
5 3183 296.18 -288.87
6 3183 -571.76 329.66
7 3183 -311.64 423.75
10 3183 -254.61 572.66
13 3183 108.62 53.85
14 3183 210.9 -375.47
0 3184 225.52 16.19
1 3184 388.2 -22.25
7 3184 134.49 166.05
10 3184 166.31 183.06
12 3184 228.77 151.23
13 3184 565.27 -189.76
15 3184 270.58 190.32
0 3185 572.5 -22.71
1 3185 793.65 -185.18
7 3185 426.67 151.68
10 3185 572.6 175.7
12 3185 510.76 108.45
13 3185 795.91 -224.59
15 3185 771.65 183.13
0 3186 44.17 20.81
1 3186 209.03 36.07
3 3186 96.28 -253
7 3186 -43.73 141.94
10 3186 -44.63 169.89
13 3186 410.42 -199.7
15 3186 22.03 171.54
0 3187 214.48 -21.43
1 3187 364.08 -56.24
2 3187 368.43 50.26
3 3187 263.93 -256.53
6 3187 204.73 62.81
7 3187 131.27 127.64
10 3187 157.33 138.32
13 3187 562.87 -222.97
15 3187 259.66 137.17
0 3188 278.96 -141.67
1 3188 394.68 -196.89
7 3188 211.39 18.84
10 3188 243.5 7.92999
0 3189 67.42 -225.79
1 3189 152 -210.06
6 3189 137.41 -204.65
12 3189 137.58 -160.93
13 3189 469.41 -411.5
15 3189 84.75 -159.45
0 3190 341.11 462.85
1 3190 738.25 382.73
4 3190 -31.03 -584.08
5 3190 747.51 -180.06
6 3190 -104.17 545.41
7 3190 103.14 565.15
9 3190 -137.1 269.44
12 3190 58.5 513.45
13 3190 462.12 159.73
14 3190 649.88 -258.63
0 3191 187.96 173.5
1 3191 413.6 143.09
7 3191 59.84 305.25
13 3191 488.21 -67.77
14 3191 693.12 -551.81
15 3191 202.79 401.04
0 3192 215.35 163.27
1 3192 436.65 126.06
13 3192 516.03 -72.87
14 3192 730.32 -560.53
15 3192 241.41 391
0 3193 307 3.35998
1 3193 473.06 -61.66
7 3193 209.9 162.63
10 3193 260.51 177.42
15 3193 385.98 183.86
0 3194 75.99 6.54999
1 3194 234.31 13.59
2 3194 229.96 54.04
3 3194 135.51 -255.44
7 3194 -8.90002 133.64
9 3194 80.74 139.45
13 3194 442.06 -209.02
15 3194 66.61 156.59
0 3195 21.7 5.34998
1 3195 182.98 27.89
2 3195 168.37 35.39
3 3195 78.31 -274.68
7 3195 -63.89 122.46
9 3195 31.31 121.5
13 3195 392.06 -214.83
15 3195 -6.26001 147.83
0 3196 122.75 -62.4
1 3196 259.04 -68.33
7 3196 50.18 72.93
10 3196 55.75 80.94
13 3196 492.12 -265.44
15 3196 139.49 68.91
0 3197 351.97 539.37
1 3197 773.92 462.34
13 3197 467.49 225.64
14 3197 653.74 -178.32
0 3198 144.49 503.33
1 3198 529.24 477.01
5 3198 553.15 -142.17
6 3198 -311.13 557.48
11 3198 275.63 -255.61
12 3198 -147.03 536.95
13 3198 308.2 181.95
14 3198 458.4 -225.92
0 3199 240.22 128.04
1 3199 445.06 84
7 3199 123.86 273.08
10 3199 171.43 315.11
13 3199 549.64 -97.97
15 3199 278.08 345.9
0 3200 549.89 75.06
1 3200 800.88 -75.49
6 3200 371.97 197.57
